"geo_type","region","transportation_type","alternative_name","sub-region","country","Date","Value","DateObject","DayName"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-07",109.06,2020-03-07,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-08",84.4,2020-03-08,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-09",94.38,2020-03-09,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-10",93.82,2020-03-10,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-11",95.1,2020-03-11,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-12",86.62,2020-03-12,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-13",84.67,2020-03-13,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-14",80.16,2020-03-14,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-15",48.83,2020-03-15,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-16",54.13,2020-03-16,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-17",31.39,2020-03-17,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-18",25.02,2020-03-18,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-19",25.6,2020-03-19,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-20",24.08,2020-03-20,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-21",18.09,2020-03-21,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-22",16.36,2020-03-22,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-23",24.95,2020-03-23,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-24",24.14,2020-03-24,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-25",23.24,2020-03-25,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-26",24.02,2020-03-26,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-27",24.98,2020-03-27,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-28",20.72,2020-03-28,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-29",18.72,2020-03-29,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-30",24.55,2020-03-30,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-31",23.99,2020-03-31,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-01",25.27,2020-04-01,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-02",25.43,2020-04-02,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-03",26.14,2020-04-03,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-04",22.11,2020-04-04,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-05",21.43,2020-04-05,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-06",28.37,2020-04-06,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-07",27.88,2020-04-07,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-08",29.07,2020-04-08,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-09",28.88,2020-04-09,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-10",30.39,2020-04-10,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-11",23.89,2020-04-11,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-12",19.55,2020-04-12,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-13",22.24,2020-04-13,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-14",33.25,2020-04-14,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-15",33.15,2020-04-15,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-16",33.76,2020-04-16,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-17",33.54,2020-04-17,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-18",26.61,2020-04-18,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-19",23.55,2020-04-19,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-20",32.46,2020-04-20,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-21",34.6,2020-04-21,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-22",36.18,2020-04-22,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-23",35.6,2020-04-23,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-24",36.45,2020-04-24,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-25",28.3,2020-04-25,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-26",27.52,2020-04-26,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-27",37.75,2020-04-27,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-28",44.15,2020-04-28,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-29",44.86,2020-04-29,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-30",43.03,2020-04-30,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-01",32.81,2020-05-01,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-02",34.01,2020-05-02,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-03",32.64,2020-05-03,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-04",46.34,2020-05-04,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-05",47.21,2020-05-05,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-06",49.86,2020-05-06,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-07",49.33,2020-05-07,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-08",41.04,2020-05-08,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-09",40.32,2020-05-09,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-10",40.37,2020-05-10,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-13",76.8,2020-05-13,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-14",81.51,2020-05-14,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-15",84.97,2020-05-15,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-16",72.51,2020-05-16,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-17",62.35,2020-05-17,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-18",86.86,2020-05-18,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-19",89.87,2020-05-19,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-20",97.8,2020-05-20,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-21",87.79,2020-05-21,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-22",98.62,2020-05-22,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-23",87.67,2020-05-23,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-24",79.56,2020-05-24,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-25",95.22,2020-05-25,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-26",100.53,2020-05-26,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-27",100.82,2020-05-27,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-28",101.08,2020-05-28,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-29",103.79,2020-05-29,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-30",102.99,2020-05-30,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-31",85.84,2020-05-31,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-01",100.48,2020-06-01,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-02",112.63,2020-06-02,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-03",113.31,2020-06-03,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-04",108.55,2020-06-04,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-05",126.23,2020-06-05,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-06",120.36,2020-06-06,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-07",94.53,2020-06-07,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-08",117.05,2020-06-08,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-09",114.28,2020-06-09,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-10",120.53,2020-06-10,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-11",122.76,2020-06-11,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-12",125.7,2020-06-12,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-13",116.64,2020-06-13,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-14",118.14,2020-06-14,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-15",131.12,2020-06-15,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-16",131.07,2020-06-16,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-17",139.65,2020-06-17,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-18",141.19,2020-06-18,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-19",147.06,2020-06-19,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-20",145.52,2020-06-20,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-21",132.33,2020-06-21,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-22",146.75,2020-06-22,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-23",151.25,2020-06-23,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-24",157.44,2020-06-24,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-25",158.19,2020-06-25,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-26",167.75,2020-06-26,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-27",162.64,2020-06-27,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-28",150.12,2020-06-28,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-29",162.87,2020-06-29,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-30",168.9,2020-06-30,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-01",174.85,2020-07-01,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-02",175.7,2020-07-02,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-03",179.75,2020-07-03,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-04",182.07,2020-07-04,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-05",176.94,2020-07-05,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-06",192.92,2020-07-06,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-07",194.76,2020-07-07,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-08",201.07,2020-07-08,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-09",204.77,2020-07-09,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-10",226.14,2020-07-10,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-11",221.32,2020-07-11,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-12",209.06,2020-07-12,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-13",229.41,2020-07-13,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-14",208.89,2020-07-14,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-15",233.96,2020-07-15,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-16",228.09,2020-07-16,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-17",236.04,2020-07-17,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-18",227.26,2020-07-18,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-19",211.64,2020-07-19,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-20",245.85,2020-07-20,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-21",243.36,2020-07-21,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-22",251.6,2020-07-22,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-23",249.53,2020-07-23,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-24",256.26,2020-07-24,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-25",254.12,2020-07-25,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-26",238.62,2020-07-26,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-27",267.07,2020-07-27,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-28",268.7,2020-07-28,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-29",264.97,2020-07-29,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-30",265.25,2020-07-30,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-07-31",259.97,2020-07-31,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-01",273.14,2020-08-01,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-02",260.01,2020-08-02,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-03",320.73,2020-08-03,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-04",322.55,2020-08-04,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-05",325.02,2020-08-05,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-06",327.61,2020-08-06,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-07",321.76,2020-08-07,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-08",315.13,2020-08-08,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-09",293.82,2020-08-09,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-10",334.45,2020-08-10,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-11",334.95,2020-08-11,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-12",328.95,2020-08-12,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-13",337.88,2020-08-13,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-14",314.24,2020-08-14,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-15",296.28,2020-08-15,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-16",283.88,2020-08-16,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-17",317.55,2020-08-17,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-18",306.25,2020-08-18,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-19",295.47,2020-08-19,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-20",291.78,2020-08-20,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-21",273.47,2020-08-21,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-22",263.27,2020-08-22,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-23",223.43,2020-08-23,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-24",247.61,2020-08-24,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-25",236.85,2020-08-25,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-26",230.99,2020-08-26,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-27",231.34,2020-08-27,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-28",219.72,2020-08-28,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-29",207.83,2020-08-29,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-30",190.08,2020-08-30,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-08-31",190.24,2020-08-31,"Monday"
